condition,seed_count,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_eer_mean,test_eer_std,test_eer_min,test_eer_max,far_0.001_clean_locked_threshold_mean,far_0.001_clean_locked_threshold_std,far_0.001_clean_locked_threshold_min,far_0.001_clean_locked_threshold_max,far_0.001_clean_locked_test_tar_mean,far_0.001_clean_locked_test_tar_std,far_0.001_clean_locked_test_tar_min,far_0.001_clean_locked_test_tar_max,far_0.001_clean_locked_test_far_mean,far_0.001_clean_locked_test_far_std,far_0.001_clean_locked_test_far_min,far_0.001_clean_locked_test_far_max,far_0.001_clean_locked_test_frr_mean,far_0.001_clean_locked_test_frr_std,far_0.001_clean_locked_test_frr_min,far_0.001_clean_locked_test_frr_max,far_0.001_condition_calibrated_threshold_mean,far_0.001_condition_calibrated_threshold_std,far_0.001_condition_calibrated_threshold_min,far_0.001_condition_calibrated_threshold_max,far_0.001_condition_calibrated_test_tar_mean,far_0.001_condition_calibrated_test_tar_std,far_0.001_condition_calibrated_test_tar_min,far_0.001_condition_calibrated_test_tar_max,far_0.001_condition_calibrated_test_far_mean,far_0.001_condition_calibrated_test_far_std,far_0.001_condition_calibrated_test_far_min,far_0.001_condition_calibrated_test_far_max,far_0.001_condition_calibrated_test_frr_mean,far_0.001_condition_calibrated_test_frr_std,far_0.001_condition_calibrated_test_frr_min,far_0.001_condition_calibrated_test_frr_max,far_0.001_threshold_shift_mean,far_0.001_threshold_shift_std,far_0.001_threshold_shift_min,far_0.001_threshold_shift_max
clean,5,1.0,4.965068306494546e-17,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.2500554829835892,0.02903443345960998,0.1977811008691788,0.2823567390441895,1.0,0.0,1.0,1.0,0.0013799314631994081,0.00187855352059546,0.0,0.005085176709890669,0.0,0.0,0.0,0.0,0.2500554829835892,0.02903443345960998,0.1977811008691788,0.2823567390441895,1.0,0.0,1.0,1.0,0.0013799314631994081,0.00187855352059546,0.0,0.005085176709890669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined_mobile_stress,5,1.0,4.965068306494546e-17,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.2500554829835892,0.02903443345960998,0.1977811008691788,0.2823567390441895,1.0,0.0,1.0,1.0,0.0014080094606809897,0.001676929993811532,0.00012899896800825592,0.0047037884566488684,0.0,0.0,0.0,0.0,0.2469644039869309,0.026549163093545148,0.20595964789390567,0.2822603285312653,1.0,0.0,1.0,1.0,0.0014391251608540097,0.0012136467168644394,0.00012899896800825592,0.003559623696923468,0.0,0.0,0.0,0.0,-0.0030910789966583307,0.007473301259904532,-0.013635337352752713,0.008178547024726868
downscale_0_25,5,1.0,4.965068306494546e-17,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.2500554829835892,0.02903443345960998,0.1977811008691788,0.2823567390441895,1.0,0.0,1.0,1.0,0.0015604241371249465,0.001881183338218942,0.00013027618551328816,0.005212306127637936,0.0,0.0,0.0,0.0,0.24751141071319585,0.034113740151307595,0.19797310233116153,0.3019272685050965,1.0,0.0,1.0,1.0,0.0017158810707213492,0.00188898833579896,0.0,0.005212306127637936,0.0,0.0,0.0,0.0,-0.002544072270393377,0.011901727073996018,-0.01256367564201355,0.019570529460906982
gaussian_blur_sigma2,5,1.0,4.965068306494546e-17,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.2500554829835892,0.02903443345960998,0.1977811008691788,0.2823567390441895,1.0,0.0,1.0,1.0,0.0014332947193776797,0.0016355350944410537,0.00013027618551328816,0.004576659038901602,0.0,0.0,0.0,0.0,0.2480698168277741,0.032649814851113124,0.1907554864883423,0.2914899289608002,1.0,0.0,1.0,1.0,0.001840108856168933,0.002427858335499882,0.00013027618551328816,0.006610729722857869,0.0,0.0,0.0,0.0,-0.0019856661558151243,0.006680906390396529,-0.010216474533081055,0.009133189916610718
jpeg_q30,5,1.0,7.021666937153402e-17,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.2500554829835892,0.02903443345960998,0.1977811008691788,0.2823567390441895,1.0,0.0,1.0,1.0,0.0016091258302261418,0.0022024337259406073,0.00013027618551328816,0.005975082634121536,0.0,0.0,0.0,0.0,0.25328390896320346,0.03624988483903655,0.18863834440708163,0.29105025529861456,1.0,0.0,1.0,1.0,0.002091214354060353,0.003294386132073559,0.0,0.008644800406814137,0.0,0.0,0.0,0.0,0.003228425979614258,0.00834774850719708,-0.009142756462097168,0.012478649616241455
low_light_gamma2,5,1.0,7.021666937153402e-17,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.2500554829835892,0.02903443345960998,0.1977811008691788,0.2823567390441895,1.0,0.0,1.0,1.0,0.001226486255978457,0.0016387801980757598,0.0,0.004449529621154335,0.0,0.0,0.0,0.0,0.24667952060699466,0.021235147855106655,0.21798893809318545,0.2797673344612122,1.0,0.0,1.0,1.0,0.0008215542547133642,0.0006762091660558638,0.0,0.001779811848461734,0.0,0.0,0.0,0.0,-0.003375962376594549,0.01230200575282613,-0.012518525123596191,0.020207837224006653
