condition,seed,reference_count,eligible_subject_count,validation_subject_count,test_subject_count,test_positive_pairs,test_negative_pairs,test_roc_auc,test_eer,roc_auc_ci_low,roc_auc_ci_high,eer_ci_low,eer_ci_high,far_0.01_clean_locked_threshold,far_0.01_clean_locked_validation_tar,far_0.01_clean_locked_validation_far,far_0.01_clean_locked_validation_frr,far_0.01_clean_locked_test_tar,far_0.01_clean_locked_test_far,far_0.01_clean_locked_test_frr,far_0.01_condition_calibrated_threshold,far_0.01_condition_calibrated_validation_tar,far_0.01_condition_calibrated_validation_far,far_0.01_condition_calibrated_validation_frr,far_0.01_condition_calibrated_test_tar,far_0.01_condition_calibrated_test_far,far_0.01_condition_calibrated_test_frr,far_0.01_threshold_shift,far_0.001_clean_locked_threshold,far_0.001_clean_locked_validation_tar,far_0.001_clean_locked_validation_far,far_0.001_clean_locked_validation_frr,far_0.001_clean_locked_test_tar,far_0.001_clean_locked_test_far,far_0.001_clean_locked_test_frr,far_0.001_condition_calibrated_threshold,far_0.001_condition_calibrated_validation_tar,far_0.001_condition_calibrated_validation_far,far_0.001_condition_calibrated_validation_frr,far_0.001_condition_calibrated_test_tar,far_0.001_condition_calibrated_test_far,far_0.001_condition_calibrated_test_frr,far_0.001_threshold_shift
jpeg_q30,20260806,3,56,17,39,207,7866,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.010416666666666666,0.0,1.0,0.014874141876430207,0.0,0.16664485633373263,1.0,0.009672619047619048,0.0,1.0,0.014874141876430207,0.0,0.0005326122045516968,0.1977811008691788,1.0,0.000744047619047619,0.0,1.0,0.005975082634121536,0.0,0.18863834440708163,1.0,0.000744047619047619,0.0,1.0,0.008644800406814137,0.0,-0.009142756462097168
low_light_gamma2,20260806,3,56,17,39,207,7866,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.16611224412918094,1.0,0.012648809523809524,0.0,1.0,0.012967200610221205,0.0,0.17390462756156924,1.0,0.009672619047619048,0.0,1.0,0.009788965166539538,0.0,0.007792383432388306,0.1977811008691788,1.0,0.001488095238095238,0.0,1.0,0.004449529621154335,0.0,0.21798893809318545,1.0,0.000744047619047619,0.0,1.0,0.001779811848461734,0.0,0.020207837224006653
clean,20260807,3,56,17,39,200,7600,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.20502942800521853,1.0,0.009615384615384616,0.0,1.0,0.003947368421052632,0.0,0.20502942800521853,1.0,0.009615384615384616,0.0,1.0,0.003947368421052632,0.0,0.0,0.254956066608429,1.0,0.0006868131868131869,0.0,1.0,0.0006578947368421052,0.0,0.254956066608429,1.0,0.0006868131868131869,0.0,1.0,0.0006578947368421052,0.0,0.0
combined_mobile_stress,20260807,3,56,17,39,200,7600,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.20502942800521853,1.0,0.01304945054945055,0.0,1.0,0.0043421052631578945,0.0,0.21692633628845218,1.0,0.009615384615384616,0.0,1.0,0.002368421052631579,0.0,0.011896908283233643,0.254956066608429,1.0,0.0006868131868131869,0.0,1.0,0.0007894736842105263,0.0,0.2413207292556763,1.0,0.0006868131868131869,0.0,1.0,0.0014473684210526317,0.0,-0.013635337352752713
downscale_0_25,20260807,3,56,17,39,200,7600,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.20502942800521853,1.0,0.012362637362637362,0.0,1.0,0.004736842105263158,0.0,0.21221768856048587,1.0,0.009615384615384616,0.0,1.0,0.0038157894736842103,0.0,0.007188260555267334,0.254956066608429,1.0,0.0006868131868131869,0.0,1.0,0.0007894736842105263,0.0,0.24417760968208316,1.0,0.0006868131868131869,0.0,1.0,0.0010526315789473684,0.0,-0.010778456926345853
gaussian_blur_sigma2,20260807,3,56,17,39,200,7600,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.20502942800521853,1.0,0.011675824175824176,0.0,1.0,0.0044736842105263155,0.0,0.20698106288909915,1.0,0.009615384615384616,0.0,1.0,0.0044736842105263155,0.0,0.0019516348838806152,0.254956066608429,1.0,0.0006868131868131869,0.0,1.0,0.0007894736842105263,0.0,0.25261789560318,1.0,0.0006868131868131869,0.0,1.0,0.0007894736842105263,0.0,-0.0023381710052490234
jpeg_q30,20260807,3,56,17,39,200,7600,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.20502942800521853,1.0,0.009615384615384616,0.0,1.0,0.004078947368421053,0.0,0.20413905382156375,1.0,0.009615384615384616,0.0,1.0,0.0043421052631578945,0.0,-0.0008903741836547852,0.254956066608429,1.0,0.0013736263736263737,0.0,1.0,0.0005263157894736842,0.0,0.26743471622467047,1.0,0.0006868131868131869,0.0,1.0,0.0005263157894736842,0.0,0.012478649616241455
low_light_gamma2,20260807,3,56,17,39,200,7600,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.0,0.20502942800521853,1.0,0.009615384615384616,0.0,1.0,0.003289473684210526,0.0,0.20434282720088962,1.0,0.009615384615384616,0.0,1.0,0.003289473684210526,0.0,-0.0006866008043289185,0.254956066608429,1.0,0.0006868131868131869,0.0,1.0,0.0005263157894736842,0.0,0.24438640475273135,1.0,0.0006868131868131869,0.0,1.0,0.0006578947368421052,0.0,-0.01056966185569766
clean,20260808,3,56,17,39,202,7676,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.21105901896953586,1.0,0.009831460674157303,0.0,1.0,0.0013027618551328818,0.0,0.21105901896953586,1.0,0.009831460674157303,0.0,1.0,0.0013027618551328818,0.0,0.0,0.2698678076267243,1.0,0.0007022471910112359,0.0,1.0,0.0,0.0,0.2698678076267243,1.0,0.0007022471910112359,0.0,1.0,0.0,0.0,0.0
combined_mobile_stress,20260808,3,56,17,39,202,7676,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.21105901896953586,1.0,0.007022471910112359,0.0,1.0,0.002996352266805628,0.0,0.19433659315109256,1.0,0.009831460674157303,0.0,1.0,0.004299114121938509,0.0,-0.0167224258184433,0.2698678076267243,1.0,0.0007022471910112359,0.0,1.0,0.0003908285565398645,0.0,0.26846480369567877,1.0,0.0007022471910112359,0.0,1.0,0.0003908285565398645,0.0,-0.0014030039310455322
downscale_0_25,20260808,3,56,17,39,202,7676,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.21105901896953586,1.0,0.007724719101123595,0.0,1.0,0.0024752475247524753,0.0,0.20363569259643557,1.0,0.009831460674157303,0.0,1.0,0.002996352266805628,0.0,-0.007423326373100281,0.2698678076267243,1.0,0.0007022471910112359,0.0,1.0,0.00013027618551328816,0.0,0.2607270479202271,1.0,0.0007022471910112359,0.0,1.0,0.0002605523710265763,0.0,-0.009140759706497192
gaussian_blur_sigma2,20260808,3,56,17,39,202,7676,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.21105901896953586,1.0,0.009129213483146067,0.0,1.0,0.0020844189682126106,0.0,0.20794475078582766,1.0,0.009831460674157303,0.0,1.0,0.0024752475247524753,0.0,-0.003114268183708191,0.2698678076267243,1.0,0.0007022471910112359,0.0,1.0,0.00013027618551328816,0.0,0.25965133309364324,1.0,0.0007022471910112359,0.0,1.0,0.00013027618551328816,0.0,-0.010216474533081055
jpeg_q30,20260808,3,56,17,39,202,7676,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.21105901896953586,1.0,0.009831460674157303,0.0,1.0,0.0014330380406461698,0.0,0.20895358920097354,1.0,0.009831460674157303,0.0,1.0,0.0016935904116727463,0.0,-0.002105429768562317,0.2698678076267243,1.0,0.0014044943820224719,0.0,1.0,0.00013027618551328816,0.0,0.27813693881034857,1.0,0.0007022471910112359,0.0,1.0,0.0,0.0,0.008269131183624268
low_light_gamma2,20260808,3,56,17,39,202,7676,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.21105901896953586,1.0,0.007724719101123595,0.0,1.0,0.0016935904116727463,0.0,0.20265918970108035,1.0,0.009831460674157303,0.0,1.0,0.002344971339239187,0.0,-0.008399829268455505,0.2698678076267243,1.0,0.0007022471910112359,0.0,1.0,0.0,0.0,0.25845775008201605,1.0,0.0007022471910112359,0.0,1.0,0.0,0.0,-0.011410057544708252
clean,20260809,3,56,17,39,205,7790,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.18529471755027774,1.0,0.00944767441860465,0.0,1.0,0.009114249037227214,0.0,0.18529471755027774,1.0,0.00944767441860465,0.0,1.0,0.009114249037227214,0.0,0.0,0.24531570076942447,1.0,0.0007267441860465116,0.0,1.0,0.0008985879332477536,0.0,0.24531570076942447,1.0,0.0007267441860465116,0.0,1.0,0.0008985879332477536,0.0,0.0
combined_mobile_stress,20260809,3,56,17,39,205,7790,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.18529471755027774,1.0,0.007994186046511628,0.0,1.0,0.009114249037227214,0.0,0.18052694201469424,1.0,0.00944767441860465,0.0,1.0,0.010654685494223362,0.0,-0.004767775535583496,0.24531570076942447,1.0,0.0007267441860465116,0.0,1.0,0.0010269576379974327,0.0,0.23681651055812838,1.0,0.0007267441860465116,0.0,1.0,0.001668806161745828,0.0,-0.008499190211296082
downscale_0_25,20260809,3,56,17,39,205,7790,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.18529471755027774,1.0,0.00944767441860465,0.0,1.0,0.009499358151476251,0.0,0.18231117725372317,1.0,0.00944767441860465,0.0,1.0,0.010654685494223362,0.0,-0.0029835402965545654,0.24531570076942447,1.0,0.0007267441860465116,0.0,1.0,0.0014120667522464698,0.0,0.23275202512741092,1.0,0.0007267441860465116,0.0,1.0,0.0020539152759948653,0.0,-0.01256367564201355
gaussian_blur_sigma2,20260809,3,56,17,39,205,7790,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.18529471755027774,1.0,0.010174418604651164,0.0,1.0,0.009370988446726573,0.0,0.1875480264425278,1.0,0.00944767441860465,0.0,1.0,0.008985879332477536,0.0,0.002253308892250061,0.24531570076942447,1.0,0.0014534883720930232,0.0,1.0,0.0014120667522464698,0.0,0.2458344399929047,1.0,0.0007267441860465116,0.0,1.0,0.0014120667522464698,0.0,0.0005187392234802246
jpeg_q30,20260809,3,56,17,39,205,7790,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.18529471755027774,1.0,0.01308139534883721,0.0,1.0,0.009499358151476251,0.0,0.19054731726646426,1.0,0.00944767441860465,0.0,1.0,0.008472400513478818,0.0,0.0052525997161865234,0.24531570076942447,1.0,0.0007267441860465116,0.0,1.0,0.0010269576379974327,0.0,0.24115929007530215,1.0,0.0007267441860465116,0.0,1.0,0.0010269576379974327,0.0,-0.0041564106941223145
low_light_gamma2,20260809,3,56,17,39,205,7790,1.0,0.0,0.9999999999999999,1.0,0.0,0.0,0.18529471755027774,1.0,0.00944767441860465,0.0,1.0,0.009114249037227214,0.0,0.18397277593612674,1.0,0.00944767441860465,0.0,1.0,0.009114249037227214,0.0,-0.001321941614151001,0.24531570076942447,1.0,0.0007267441860465116,0.0,1.0,0.0008985879332477536,0.0,0.23279717564582827,1.0,0.0007267441860465116,0.0,1.0,0.0014120667522464698,0.0,-0.012518525123596191
